Product,Current Stock,Reorder Level,Reorder Quantity,Last in Stock Date
Product A,250,50,200,2023-05-15
Product B,180,40,160,2023-04-20
Product C,300,60,240,2023-06-10
Product D,220,45,175,2023-05-05
Product E,280,55,225,2023-07-01
Product F,190,35,155,2023-04-25
Product G,270,50,220,2023-05-20
Product H,260,55,205,2023-07-05
Product I,200,40,160,2023-04-30
Product J,240,60,180,2023-06-15
Product K,290,50,240,2023-05-25
Product L,210,45,165,2023-05-10
Product M,230,35,195,2023-04-15
Product N,270,55,215,2023-07-10
Product O,250,50,200,2023-05-20
Product P,180,40,160,2023-04-25
Product Q,300,60,240,2023-06-20
Product R,220,45,175,2023-05-15
Product S,280,55,225,2023-07-05
Product T,190,35,155,2023-04-30
Product U,270,50,220,2023-05-25
Product V,260,55,205,2023-06-10
Product W,200,40,160,2023-05-01
Product X,240,60,180,2023-06-15
Product Y,290,50,240,2023-05-30
Product Z,210,45,165,2023-05-10
Product AA,230,35,195,2023-04-20
Product BB,270,55,215,2023-07-10
